,cum_wealth_benchmark,cum_wealth_cutloss,daily_return_benchmark_mean,daily_return_benchmark_std,daily_return_cutloss_mean,daily_return_cutloss_std
CECO US Equity,1.587423,1.054697,0.001659966,0.041316858,0.001041506,0.029394484
CETV US Equity,-0.341865,0.195749,0.000478128,0.041309467,0.000481369,0.024982684
CKH US Equity,-0.14520094,0.18639738,-2.60E-06,0.016675041,0.000238152,0.012956487
CLDT US Equity,0.2967,0.177702,0.000353217,0.01538711,0.000214035,0.011521616
CLW US Equity,0.166656,0.575082,0.000341218,0.019956356,0.000487856,0.012481693
CMCO US Equity,0.78899,0.568035,0.000749003,0.02120346,0.000494569,0.013278055
CMRE US Equity,-0.53516,-0.372994,-0.00033987,0.026375263,-0.000232217,0.01932663
CNOB US Equity,1.064008,0.217931,0.000768754,0.015135114,0.00022674,0.009871301
CNXN US Equity,1.253523,0.847643,0.000921616,0.019453241,0.000642279,0.0132893
COBZ US Equity,1.192146,1.336832,0.000853037,0.01699962,0.000858692,0.013597515
COHU US Equity,0.750508,0.184928,0.000752671,0.022162303,0.000286167,0.016176201
CONN US Equity,-0.34453958,1.23188742,0.000727585,0.045621901,0.001249186,0.032742343
CRAY US Equity,0.06784776,0.28802476,0.000629167,0.034159327,0.000486869,0.022984146
CROX US Equity,-0.533169,-0.352904,-0.000322007,0.027216412,-0.000216077,0.019219611
CRY US Equity,1.819824,1.113452,0.001177944,0.021943304,0.000804184,0.015930972
CTBI US Equity,0.48781817,0.41189904,0.000445548,0.013165761,0.000357978,0.009638468
CTS US Equity,1.06652,0.165005,0.000825925,0.018457999,0.000201578,0.011278889
CTWS US Equity,0.921078,0.061841,0.000674002,0.012972023,7.62E-05,0.006631718
CWST US Equity,2.425068,2.081091,0.001314745,0.020146804,0.001120396,0.014444588
CYTK US Equity,1.905945,1.513758,0.00215215,0.045654285,0.0011615,0.026147497
DCOM US Equity,0.4739,0.225396,0.000433983,0.012930359,0.000231674,0.009800085
DEPO US Equity,0.557852,0.2244635,0.001040746,0.03609275,0.000420751,0.021700772
DHIL US Equity,1.96848,0.372708,0.001098078,0.015160713,0.000321937,0.008461639
DHT US Equity,-0.131699,0.400982,0.000201157,0.02564321,0.000485763,0.01908754
DNR US Equity,-0.912476,-0.786132,-0.000862832,0.05227673,-0.000718795,0.036837034
DXPE US Equity,-0.244338,0.247077,0.00041911,0.037141011,0.000451591,0.022708122
ECHO US Equity,0.07046,0.042592,0.000356158,0.024709084,0.000192332,0.017946682
EMCI US Equity,0.798188,0.57736413,0.000680322,0.017331507,0.00049503,0.012905231
ESND US Equity,-0.451261,-0.448372,-0.000269103,0.021994253,-0.000393128,0.015634119
EVC US Equity,2.52926,0.848165,0.001599071,0.030489921,0.000796954,0.022046443
EXPR US Equity,-0.534749,0.36563,-0.000292494,0.027895638,0.000519237,0.021674878
EZPW US Equity,-0.541692,-0.786929,-0.000258984,0.029972383,-0.001170645,0.021171063
FARM US Equity,1.213355,2.062169,0.000992825,0.023563833,0.001156946,0.017301492
FARO US Equity,0.015602,0.469259,0.000427036,0.028229121,0.000543335,0.019498349
FBNC US Equity,1.328292,0.221791,0.000900639,0.016575264,0.000236125,0.010512647
FDEF US Equity,1.777168,1.027989,0.001047773,0.0158071,0.000685623,0.009686121
FF US Equity,0.209408,-0.149732,0.000490332,0.025146199,9.82E-06,0.017573858
FINL US Equity,-0.156728,-0.197953,0.000115004,0.022952727,-7.25E-05,0.015618034
FLIC US Equity,1.24154946,0.37939671,0.000858815,0.016115579,0.000327612,0.008606931
FLWS US Equity,1.73558,1.255261,0.001265838,0.02678547,0.000947848,0.020695617
FORR US Equity,0.44226336,0.37604336,0.00044305,0.014983415,0.000351911,0.011249499
FOSL US Equity,-0.880056,-0.7901335,-0.001494963,0.028023378,-0.00115861,0.021781808
