major,minor,Cash0,Cash1,Cash2,Close,Share0,Share1,Share2,Total0,Total1,Total2
EWG US Equity,2008-03-03,14.3,4.14,9.82,31.04,305.0,295.0,292.0,9481.5,9160.94,9073.5
EWG US Equity,2008-03-04,14.3,4.14,9.82,30.56,305.0,295.0,292.0,9335.1,9019.34,8933.34
EWG US Equity,2008-03-05,14.3,4.14,9.82,30.95,305.0,295.0,292.0,9454.05,9134.39,9047.22
EWG US Equity,2008-03-06,14.3,4.14,9.82,30.73,305.0,295.0,292.0,9386.95,9069.49,8982.98
EWG US Equity,2008-03-07,14.3,4.14,9.82,30.26,305.0,295.0,292.0,9243.6,8930.84,8845.74
EWG US Equity,2008-03-10,14.3,4.14,9.82,29.96,305.0,295.0,292.0,9152.1,8842.34,8758.14
EWG US Equity,2008-03-11,14.3,4.14,9.82,30.92,305.0,295.0,292.0,9444.9,9125.54,9038.46
EWG US Equity,2008-03-12,14.3,4.14,9.82,31.01,305.0,295.0,292.0,9472.35,9152.09,9064.74
EWG US Equity,2008-03-13,14.3,4.14,9.82,31.11,305.0,295.0,292.0,9502.85,9181.59,9093.94
EWG US Equity,2008-03-14,14.3,4.14,9.82,30.55,305.0,295.0,292.0,9332.05,9016.39,8930.42
EWG US Equity,2008-03-17,14.3,4.14,9.82,29.99,305.0,295.0,292.0,9161.25,8851.19,8766.9
EWG US Equity,2008-03-18,14.3,4.14,9.82,30.8,305.0,295.0,292.0,9408.3,9090.14,9003.42
EWG US Equity,2008-03-19,14.3,4.14,9.82,29.88,305.0,295.0,292.0,9127.7,8818.74,8734.78
EWG US Equity,2008-03-20,14.3,4.14,9.82,29.93,305.0,295.0,292.0,9142.95,8833.49,8749.38
EWG US Equity,2008-03-24,14.3,4.14,9.82,30.83,305.0,295.0,292.0,9417.45,9098.99,9012.18
EWG US Equity,2008-03-25,14.3,4.14,9.82,31.04,305.0,295.0,292.0,9481.5,9160.94,9073.5
EWG US Equity,2008-03-26,14.3,4.14,9.82,31.27,305.0,295.0,292.0,9551.65,9228.79,9140.66
EWG US Equity,2008-03-27,14.3,4.14,9.82,31.36,305.0,295.0,292.0,9579.1,9255.34,9166.94
EWG US Equity,2008-03-28,14.3,4.14,9.82,31.32,305.0,295.0,292.0,9566.9,9243.54,9155.26
EWG US Equity,2008-03-31,14.3,4.14,9.82,31.5,305.0,295.0,292.0,9621.8,9296.64,9207.82
EWG US Equity,2008-04-01,14.3,4.14,9.82,32.29,305.0,295.0,292.0,9862.75,9529.69,9438.5
EWG US Equity,2008-04-02,14.3,4.14,9.82,32.23,305.0,295.0,292.0,9844.45,9511.99,9420.98
EWG US Equity,2008-04-03,14.3,4.14,9.82,32.23,305.0,295.0,292.0,9844.45,9511.99,9420.98
EWG US Equity,2008-04-04,14.3,4.14,9.82,32.32,305.0,295.0,292.0,9871.9,9538.54,9447.26
EWG US Equity,2008-04-07,14.3,4.14,9.82,32.48,305.0,295.0,292.0,9920.7,9585.74,9493.98
EWG US Equity,2008-04-08,14.3,4.14,9.82,32.35,305.0,295.0,292.0,9881.05,9547.39,9456.02
EWG US Equity,2008-04-09,14.3,4.14,9.82,32.14,305.0,295.0,292.0,9817.0,9485.44,9394.7
EWG US Equity,2008-04-10,14.3,4.14,9.82,32.15,305.0,295.0,292.0,9820.05,9488.39,9397.62
EWG US Equity,2008-04-11,14.3,4.14,9.82,31.57,305.0,295.0,292.0,9643.15,9317.29,9228.26
EWG US Equity,2008-04-14,14.3,4.14,9.82,31.59,305.0,295.0,292.0,9649.25,9323.19,9234.1
EWG US Equity,2008-04-15,14.3,4.14,9.82,31.72,305.0,295.0,292.0,9688.9,9361.54,9272.06
EWG US Equity,2008-04-16,14.3,4.14,9.82,32.7,305.0,295.0,292.0,9987.8,9650.64,9558.22
EWG US Equity,2008-04-17,14.3,4.14,9.82,32.34,305.0,295.0,292.0,9878.0,9544.44,9453.1
EWG US Equity,2008-04-18,14.3,4.14,9.82,32.76,305.0,295.0,292.0,10006.1,9668.34,9575.74
EWG US Equity,2008-04-21,14.3,4.14,9.82,32.99,305.0,295.0,292.0,10076.25,9736.19,9642.9
EWG US Equity,2008-04-22,14.3,4.14,9.82,32.65,305.0,295.0,292.0,9972.55,9635.89,9543.62
EWG US Equity,2008-04-23,14.3,4.14,9.82,32.93,305.0,295.0,292.0,10057.95,9718.49,9625.38
EWG US Equity,2008-04-24,14.3,4.14,9.82,32.64,305.0,295.0,292.0,9969.5,9632.94,9540.7
EWG US Equity,2008-04-25,14.3,4.14,9.82,32.86,305.0,295.0,292.0,10036.6,9697.84,9604.94
EWG US Equity,2008-04-28,14.3,4.14,9.82,32.9,305.0,295.0,292.0,10048.8,9709.64,9616.62
EWG US Equity,2008-04-29,14.3,4.14,9.82,32.58,305.0,295.0,292.0,9951.2,9615.24,9523.18
EWG US Equity,2008-04-30,14.3,4.14,9.82,32.68,305.0,295.0,292.0,9981.7,9644.74,9552.38
EWG US Equity,2008-05-01,14.3,4.14,9.82,33.15,305.0,295.0,292.0,10125.05,9783.39,9689.62
EWG US Equity,2008-05-02,14.3,4.14,9.82,32.94,305.0,295.0,292.0,10061.0,9721.44,9628.3
EWG US Equity,2008-05-05,14.3,4.14,9.82,33.21,305.0,295.0,292.0,10143.35,9801.09,9707.14
EWG US Equity,2008-05-06,14.3,4.14,9.82,33.32,305.0,295.0,292.0,10176.9,9833.54,9739.26
EWG US Equity,2008-05-07,14.3,4.14,9.82,32.83,305.0,295.0,292.0,10027.45,9688.99,9596.18
EWG US Equity,2008-05-08,14.3,4.14,9.82,33.07,305.0,295.0,292.0,10100.65,9759.79,9666.26
EWG US Equity,2008-05-09,14.3,4.14,9.82,33.01,305.0,295.0,292.0,10082.35,9742.09,9648.74
EWG US Equity,2008-05-12,14.3,4.14,9.82,33.41,305.0,295.0,292.0,10204.35,9860.09,9765.54
EWG US Equity,2008-05-13,14.3,4.14,9.82,33.23,305.0,295.0,292.0,10149.45,9806.99,9712.98
EWG US Equity,2008-05-14,14.3,4.14,9.82,33.22,305.0,295.0,292.0,10146.4,9804.04,9710.06
EWG US Equity,2008-05-15,14.3,4.14,9.82,33.56,305.0,295.0,292.0,10250.1,9904.34,9809.34
EWG US Equity,2008-05-16,14.3,4.14,9.82,34.18,305.0,295.0,292.0,10439.2,10087.24,9990.38
EWG US Equity,2008-05-19,14.3,4.14,9.82,34.06,305.0,295.0,292.0,10402.6,10051.84,9955.34
EWG US Equity,2008-05-20,14.3,4.14,9.82,33.91,305.0,295.0,292.0,10356.85,10007.59,9911.54
EWG US Equity,2008-05-21,14.3,4.14,9.82,33.54,305.0,295.0,292.0,10244.0,9898.44,9803.5
EWG US Equity,2008-05-22,14.3,4.14,9.82,33.85,305.0,295.0,292.0,10338.55,9989.89,9894.02
EWG US Equity,2008-05-23,14.3,4.14,9.82,33.35,305.0,295.0,292.0,10186.05,9842.39,9748.02
EWG US Equity,2008-05-27,14.3,4.14,9.82,33.39,305.0,295.0,292.0,10198.25,9854.19,9759.7
EWG US Equity,2008-05-28,14.3,4.14,9.82,33.52,305.0,295.0,292.0,10237.9,9892.54,9797.66
EWG US Equity,2008-05-29,14.3,4.14,9.82,33.33,305.0,295.0,292.0,10179.95,9836.49,9742.18
