Date,AAPL US Equity,BRK/B US Equity,JPM US Equity,JNJ US Equity,PFE US Equity,AMZN US Equity,CMCSA US Equity,WMT US Equity,PG US Equity,GE US Equity,MMM US Equity,XOM US Equity,CVX US Equity,VZ US Equity,NEE US Equity,DUK US Equity,DOW US Equity,DD US Equity,SPG US Equity,GOOGL US Equity
8/7/2010,36.87,79.41,38.16,61.38,14.82,116.22,8.92,49.18,61.95,14.83,81.22,58.81,70.41,26.78,51,50.16,24.99,34.47,76.83,228.5
9/7/2010,37.09,79.75,38.85,60.54,14.77,117.26,9.04,49.43,61.75,14.95,82.16,58.78,71.84,26.65,51.43,50.37,25.95,35.05,77.72,233.97
12/7/2010,36.76,79.47,39.19,60.21,14.93,119.51,9.26,50.12,62.09,14.93,82.26,58.94,71.85,26.49,51.91,50.67,25.75,34.69,78,238.15
13/7/2010,35.97,79.86,40.48,60.5,14.79,123.65,9.51,50.54,62.39,15.21,83.55,59.42,73.23,26.89,52.28,50.52,26.71,35.44,79.99,244.84
14/7/2010,36.1,79.35,40.35,60.62,14.84,123.3,9.49,50.35,62.66,15.2,83.05,59.26,73.05,26.84,52.1,50.88,27,35.23,79.52,245.91
15/7/2010,35.92,79.71,40.46,60.26,14.87,122.06,9.66,50.41,62.73,15.25,83.06,59.27,73.04,26.8,52.94,51.24,26.63,35.31,79.82,247.25
16/7/2010,35.7,77.1,39,59.44,14.56,118.49,9.27,49.67,61.99,14.55,80.95,57.96,71.5,26.69,52.61,50.61,25.17,34.18,77.32,230.03
19/7/2010,35.08,77.31,39.04,59.57,14.73,119.94,9.51,49.52,61.86,14.62,81.22,58.43,72,26.72,52.77,51.51,25.13,34.25,78.38,233.32
20/7/2010,35.98,78.24,39.63,58.58,14.55,120.1,9.43,50.88,62.07,14.94,82.19,58.95,73.1,26.67,52.7,51.42,25.58,34.97,79.34,241.03
21/7/2010,36.32,76.63,38.42,57.12,14.5,117.43,9.18,50.35,61.11,14.84,82.3,58.17,72.17,26.52,52.12,50.7,25.52,34.73,77.44,238.98
22/7/2010,37,78.35,39.35,57.02,14.81,120.07,9.41,50.86,61.37,15.21,84.75,59.38,73.44,27,52.84,51.3,26.64,35.84,81.17,242.64
23/7/2010,37.13,78.71,39.83,57.63,14.58,118.87,9.66,51.67,61.91,15.71,86.17,59.72,73.52,28.02,52.81,50.82,26.93,36.42,82.09,245.27
26/7/2010,37.04,78.72,40.33,57.74,15.02,118.4,9.74,51.13,62.52,16.14,87.32,60.39,74.62,28.28,52.83,51.3,27.25,37.04,83.75,244.72
27/7/2010,37.73,78.51,40.69,58.1,15.27,117.13,9.67,50.96,63.08,16.18,86.8,60.81,75.3,28.59,53.8,52.08,27.35,38.36,83.94,246.55
28/7/2010,37.28,77.82,40.32,57.83,15,117.13,9.78,51.13,62.7,16.05,86.69,60.91,75.56,28.91,53.07,51.93,27.08,38.25,83.8,242.41
29/7/2010,36.87,78.04,40.21,57.83,15.09,116.86,9.57,51.06,61.67,16.15,86.34,60.34,76.02,28.88,52.5,51.51,27.27,38.48,82.68,242.73
30/7/2010,36.75,78.12,40.28,58.09,15,117.89,9.74,51.19,61.16,16.12,85.54,59.68,76.21,29.06,52.3,51.3,27.33,38.63,83.89,242.66
2/8/2010,37.41,79.92,41.64,58.72,15.48,120.07,9.74,51.41,62.06,16.41,87.41,61.94,77.8,29.56,54.01,52.11,28.33,39.54,87.94,245.44
3/8/2010,37.42,79.83,41.08,59.35,16.34,122.42,9.61,51.29,59.94,16.4,87.21,62.72,78.66,29.54,53.74,52.11,25.5,39.36,87.59,245.15
4/8/2010,37.57,80.76,41.29,59.74,16.44,127.58,9.62,51.6,59.55,16.48,88,62.72,79.02,29.4,53.6,52.11,24.79,40.29,88.81,253.41
5/8/2010,37.39,80.83,41.27,59.76,16.19,127.83,9.47,51.62,59.86,16.52,87.72,62.71,79.07,29.55,53.26,52.23,25.26,40.35,87.56,254.3
6/8/2010,37.16,80.47,40.44,59.96,16.24,128.32,9.32,51.79,60.02,16.45,87.29,61.97,78.73,29.55,53.71,52.26,25.44,40.02,87.29,250.35
9/8/2010,37.39,80.7,39.82,60.05,16.42,128.83,9.37,52.06,60.38,16.38,88.03,62.45,79.29,29.86,53.48,52.68,26,40.29,88.07,252.92
10/8/2010,37.06,79.73,39.17,59.43,16.57,130,9.31,52.22,60.78,16.25,87.11,61.93,79.04,30.02,53.75,53.07,25.99,40.06,87.04,252.1
11/8/2010,35.74,77.5,37.77,58.5,16,125.89,9.01,51.02,60.27,15.7,84.1,60.39,77.13,29.56,52.68,51.33,25.18,38.47,85.22,246.11
12/8/2010,35.97,77.02,37.81,58.52,16.2,126.56,9.09,50.43,59.99,15.5,84.01,60.23,77.07,30.32,52.06,51.3,24.98,38.73,84.27,246.24
13/8/2010,35.59,76.78,37.5,58.15,16.08,124.69,8.94,50.4,59.82,15.38,84.01,59.91,77.4,30.03,52.02,51.03,25.16,38.3,83.93,243.41
16/8/2010,35.38,76.84,37.69,58.01,16.03,126.07,8.88,50.41,59.77,15.46,83.43,59.88,77.71,29.96,52.16,51.09,25.18,38.37,84.06,243.03
17/8/2010,36,77.53,37.48,59.22,16.27,128.86,8.88,51.02,60.29,15.58,84.09,60.82,77.77,30.17,52.47,51.72,25.5,39.35,86.23,245.5
18/8/2010,36.15,78.79,37.89,59.35,16.1,129.65,9.06,50.86,60.75,15.7,83.61,60.15,77.04,30.15,52.55,51.78,25.72,39.35,86.37,241.31
19/8/2010,35.7,77.54,37.07,58.72,16.03,127.57,8.92,50.06,60.19,15.25,81.81,59.29,75.84,29.62,51.84,51.12,24.91,38.56,84.05,234.21
20/8/2010,35.66,77.73,37.14,58.74,15.92,127.76,8.91,50.22,59.98,15.03,80.66,58.89,75.05,29.37,53.29,51.18,24.43,38.32,83.65,231.23
23/8/2010,35.11,77.23,36.88,58.87,16.1,126.6,8.73,51.14,60.03,14.89,81.08,59.5,75.05,29.41,53.72,51.18,24.04,38.35,82.77,232.26
24/8/2010,34.28,76.58,36.21,58.01,15.82,124.53,8.51,51.3,59.66,14.57,80.45,58.94,73.78,29.47,54.29,51.63,23.12,37.61,82.98,225.91
25/8/2010,34.7,76.8,36.23,57.98,15.99,126.85,8.67,51.55,59.67,14.57,80.75,58.91,74.07,29.66,53.27,51.48,23.12,37.72,84.09,227.53
26/8/2010,34.33,76.37,35.63,57.8,15.9,124.86,8.52,50.97,59.54,14.5,79.78,58.48,73.33,29.5,53.05,51.24,23.74,37.51,83.59,225.71
27/8/2010,34.52,78.78,36.6,57.6,16.09,126.64,8.63,51,59.8,14.71,81,59.8,74.93,29.84,53.89,52.08,24.72,38.96,85.11,229.64
30/8/2010,34.64,77.9,35.85,57.3,15.86,123.79,8.5,50.55,59.37,14.52,79.65,59,73.78,29.44,53.26,51.45,24.33,38.3,84.41,226.56
31/8/2010,34.73,78.78,36.36,57.02,15.91,124.83,8.55,50.14,59.67,14.48,78.55,59.11,74.08,29.53,53.73,51.54,24.37,38.73,85.04,225.23
1/9/2010,35.76,80.91,37.74,58.29,16.28,132.49,8.97,51.2,59.8,15.01,81.01,60.91,76.77,30.26,54.62,52.32,25.59,39.9,87.97,230.39
2/9/2010,36.02,81.19,38.16,58.61,16.4,135.21,9.04,51.76,60.07,15.15,81.87,61.06,77.45,30.11,54.64,51.84,25.88,39.98,89.66,231.81
3/9/2010,36.97,81.61,39.17,58.93,16.46,138.79,9.11,52.04,60.29,15.39,83.48,61.32,78,30.2,54.64,52.05,26.47,40.38,90.71,235.38
7/9/2010,36.83,80.79,38.28,58.7,16.33,137.22,8.9,51.86,60.14,15.44,82.14,60.55,77.05,30.22,54.29,52.02,25.49,39.9,88.88,232.43
8/9/2010,37.56,81.69,39.12,58.85,16.56,139.14,8.96,51.83,60.37,15.7,82.75,60.75,77.25,30.46,54.27,52.17,25.76,40.27,89.24,235.52
9/9/2010,37.58,82.31,40.1,59.82,16.77,140.38,8.99,51.91,60.29,15.91,82.96,61.05,77.36,30.84,54.61,52.62,25.69,40.07,88.59,238.32
10/9/2010,37.63,82.72,39.76,59.98,16.99,142.44,9.2,51.97,60.4,15.98,83.94,61.2,78.82,30.82,55.16,52.59,25.99,40.17,89.18,238.3
13/9/2010,38.15,83.34,41.12,60.32,16.97,145.07,9.21,52.21,60.48,16.25,84.86,61,79.25,30.9,55.45,52.98,26.59,40.66,89.3,241.37
14/9/2010,38.29,83.05,40.72,60.58,17.08,145.75,8.9,52.66,60.64,16.16,84.63,61.01,79.51,30.91,55.02,52.98,26.53,40.53,88.7,240.45
15/9/2010,38.6,83.48,40.98,61.05,17.27,145.45,9.02,52.86,61.11,16.34,84.58,61,79.21,31.19,53.75,52.74,26.17,40.78,89.72,240.55
16/9/2010,39.51,83.54,40.99,61.29,17.17,148.13,8.79,53.15,61.11,16.23,84.95,60.97,79.05,31.42,53.87,52.71,26.41,41.21,88.94,240.76
17/9/2010,39.34,82.72,40.06,61.57,17.06,148.33,8.82,53.01,60.97,16.29,86.07,60.78,78.46,31.68,53.76,52.53,26.72,41.75,89.62,245.31
20/9/2010,40.46,83.51,41.19,62.09,17.28,151.31,9.05,53.54,61.43,16.55,87.41,61.55,79.9,32.09,54.5,53.34,27.17,42.38,91.43,254.39
21/9/2010,40.54,83.09,40.59,61.94,17.14,150.73,9.07,53.57,61.52,16.52,86.55,61.54,79.75,32.32,54.09,53.37,27.25,42.59,90.53,256.98
22/9/2010,41.11,82.42,39.94,61.97,17.22,151.83,8.98,53.82,61.79,16.5,86.63,61.45,79.25,32.39,54.31,53.94,27.36,42.39,89.6,258.25
23/9/2010,41.27,81.24,39.1,61.81,17.04,152.85,8.96,53.65,61.22,16.14,85.53,61.15,78.54,32.17,53.55,53.28,26.97,42.2,87.24,256.99
24/9/2010,41.76,83.32,39.75,62.14,17.4,160.73,9.29,54.08,61.64,16.66,86.96,61.75,80.12,32.64,54.5,53.97,28.07,43.3,89.55,263.9
27/9/2010,41.59,82.87,39.08,62.03,17.17,159.37,9.16,53.48,61.04,16.43,86.19,61.71,80.08,32.86,54.67,53.7,27.92,43.03,88.23,265.46
28/9/2010,40.98,83.07,38.95,62.43,17.43,159.7,9.17,53.82,60.62,16.44,87.04,62.06,80.88,32.72,55.01,53.82,27.86,43.38,88.26,263.84
29/9/2010,41.05,82.44,38.41,62.31,17.4,158.99,9.08,53.35,60.25,16.36,87.17,61.59,81.28,32.66,54.67,53.58,27.39,42.3,87.48,264.1
30/9/2010,40.54,82.68,38.06,61.96,17.17,157.06,9.04,53.52,59.97,16.25,86.71,61.79,81.05,32.59,54.39,53.13,27.46,42.39,87.2,263.15
1/10/2010,40.36,82.71,38.81,61.75,17.18,153.71,8.91,53.36,60.16,16.36,87.62,62.54,81.95,32.89,54.41,53.49,27.88,42.61,88,263.07
4/10/2010,39.81,82.11,38.95,61.67,16.9,155.39,8.83,53.57,59.96,16.1,86.7,62.19,81.31,33.03,53.99,53.25,27.47,42.2,88.68,261.43
5/10/2010,41.28,83.43,39.64,62.8,17.23,160.87,9.04,54,60.82,16.51,88.86,63.26,83.39,33.57,54.4,53.22,28.47,43.48,89.91,269.38
6/10/2010,41.31,83.54,39.9,63.21,17.26,155.4,8.88,54.56,60.87,16.9,89.89,63.94,83.89,33.36,54.78,53.1,28.95,43.57,89.76,267.43
7/10/2010,41.32,83.17,39.52,63.22,17.38,156.27,8.95,54.36,60.8,17.05,88.9,63.85,83.52,32.93,54.9,52.89,29.15,43.92,89.96,265.26
8/10/2010,42.01,83.16,39.31,63.23,17.46,155.55,9,54.41,61.86,17.12,89.16,64.38,83.94,32.83,54.92,52.92,30.03,44.33,89.85,268.44
11/10/2010,42.19,82.95,39.73,63.3,17.38,153.03,9.01,54.61,62.14,16.96,88.25,64.55,83.71,33.03,54.99,52.86,29.85,43.78,90.01,269.68
12/10/2010,42.65,83.3,40.4,63.29,17.48,156.48,9.01,53.92,62.02,17.19,88.15,64.7,83.84,32.54,55.24,52.74,29.81,43.97,90.68,270.96
13/10/2010,42.88,83.66,39.84,63.58,17.73,155.17,9.07,53.82,62.63,17.28,89.14,65.04,83.67,32.21,55.47,52.68,29.82,44.53,91.33,271.91
14/10/2010,43.19,83.61,38.72,63.74,17.66,155.53,9.19,53.25,62.8,17.16,89.07,65.3,83.9,32.44,55.34,52.74,29.31,44.16,90.96,270.73
15/10/2010,44.96,83.37,37.15,63.57,17.75,164.64,9.47,53.35,62.76,16.3,89.14,65.19,83.61,32.43,55.32,52.77,29.43,44.33,91.65,301.02
18/10/2010,45.43,83.5,38.2,63.86,17.8,163.56,9.51,53.76,63.35,16.25,89.66,66.28,84.48,32.59,55.82,52.95,29.84,44.75,92.35,309.15
19/10/2010,44.21,82.36,37.69,63.29,17.39,158.67,9.56,53.32,63.18,16.07,88.55,65.12,82.79,32.16,55.51,53.01,29.34,43.68,90.38,304.21
20/10/2010,44.36,82.92,38.1,63.6,17.66,158.67,9.69,53.47,63.37,16.05,89.47,66.01,84.02,32.64,56.03,53.37,30.19,44.72,92.33,304.29
21/10/2010,44.22,83.01,37.7,63.99,17.63,164.97,9.75,54.03,63.51,16.1,90.55,66.32,84.25,32.52,55.59,53.46,30.52,44.77,92.12,306.29
22/10/2010,43.92,83.34,37.7,63.81,17.5,169.13,9.73,54.06,63.4,16.06,90.44,66.34,84.55,32.09,55.45,53.34,30.2,44.49,91.85,306.56
25/10/2010,44.12,83.33,37.07,63.98,17.62,169,9.89,53.95,63.54,16.06,90.9,66.2,84.87,32.35,54.85,53.31,31.56,45.31,92.05,308.55
26/10/2010,44.01,82.22,37.2,63.84,17.49,169.95,9.82,54.56,62.86,16.16,90.47,66.53,85.15,32.5,55.24,53.58,31.5,44.86,91.36,309.6
