Date,FB US Equity,SPY US Equity,MSCI US Equity,700 HK Equity,PG US Equity
20150706,87.55,206.72,62.11,146.5,80.05
20150707,87.22,208.02,62.91,144.7,81.72
20150708,85.65,204.53,61.69,134.8,80.99
20150709,85.88,204.9,62.23,146,80.66
20150710,87.95,207.48,63.79,148.9,80.95
20150713,90.1,209.77,64.14,150.5,81.91
20150714,89.68,210.68,64.51,151.7,82.04
20150715,89.76,210.61,64.81,150,82.15
20150716,90.85,212.3,66.24,150,82.3
20150717,94.97,212.48,66.02,153.6,82.24
20150720,97.91,212.59,66.36,155.5,82.19
20150721,98.39,211.75,66.3,156.6,81.63
20150722,97.04,211.37,66.49,154.5,80.83
20150723,95.44,210.18,66.55,154.5,80.7
20150724,96.95,208,66.89,151.5,80.29
20150727,94.17,206.79,65.73,145.6,79.97
20150728,95.29,209.33,66,146.5,80.23
20150729,96.99,210.77,66.91,144.4,80.62
20150730,95.21,210.82,67.97,142.8,77.39
20150731,94.01,210.5,68.16,144.7,76.7
20150803,94.14,209.79,67.54,144,76.4
20150804,94.06,209.38,66.96,143,75.91
20150805,96.44,210.07,67.6,142.4,75.77
20150806,95.12,208.35,66.51,140.9,75.74
20150807,94.3,207.95,66.22,142.1,75.48
20150810,94.15,210.57,66.79,142.8,76.38
20150811,93.62,208.67,65.55,140.8,76.22
20150812,94.19,208.92,63.95,134.9,76.39
20150813,93.43,208.66,63.4,144.1,75.78
20150814,94.42,209.42,64.08,143.4,75.62
20150817,93.93,210.59,64.45,142,75.53
20150818,95.17,209.98,64.42,139.4,75.13
20150819,95.31,208.32,64.28,139.6,74.12
20150820,90.56,203.97,62.74,136.2,73.91
20150821,86.06,197.83,61.35,131.6,71.84
20150824,82.09,189.5,58.18,125,69.14
20150825,83,187.27,57.78,130.9,68.42
20150826,87.19,194.46,60.14,128.6,70.9
20150827,89.73,199.27,61.65,132.2,71.48
20150828,91.01,199.28,62.16,130.7,71.21
20150831,89.43,197.67,60.52,131.8,70.67
20150901,87.23,191.77,58.56,127.2,68.9
20150902,89.89,195.41,59.89,127.4,69.81
20150903,88.15,195.55,59.67,127.4,69.93
20150904,88.26,192.59,58.66,127.4,68.76
20150908,89.53,197.43,60.92,129.4,69.98
20150909,90.44,194.79,60.09,133.6,68.48
20150910,91.98,195.85,60.86,128.6,68.32
20150911,92.05,196.74,61.02,127.4,68.42
20150914,92.31,196.01,59.85,128,68.06
20150915,92.9,198.46,60.73,131.2,69.45
20150916,93.45,200.18,60.65,135.4,70.1
20150917,94.34,199.73,60.71,134.3,70.24
20150918,94.4,195.45,60.12,135.3,69.94
20150921,95.55,196.46,61.82,133.8,70.65
20150922,92.96,193.91,60.97,132.4,70.19
20150923,93.97,193.6,61.41,130.9,70.26
20150924,94.41,192.9,60.47,130.7,71.36
20150925,92.77,192.85,61.32,131,72.67
20150928,89.21,188.01,58.94,131,71.77
20150929,86.67,188.12,58.24,127.3,72.28
20150930,89.9,191.63,59.46,129.3,71.94
20151001,90.95,192.13,57.95,129.3,71.95
20151002,92.07,195,58.57,135.5,72.42
20151005,94.01,198.47,59.23,139.7,73.22
20151006,92.8,197.79,58.61,139.6,73.4
20151007,92.4,199.41,59.32,142,73.72
20151008,92.47,201.21,59.93,142.1,74.4
20151009,93.24,201.33,60,141.9,74.48
20151013,94.12,200.25,60.15,142.9,74.11
20151014,94.07,199.29,59.19,142.6,74.21
20151015,95.96,202.35,59.85,145,74.27
20151016,97.54,203.27,60.18,146.6,74.9
20151019,98.47,203.37,60.79,147.1,75.16
20151020,97,203.09,60.9,146.9,74.43
20151021,97.11,201.85,60.46,146.9,73.59
20151022,99.67,205.26,61.08,146.3,74.85
20151023,102.19,207.51,61.8,149.2,77.03
20151026,103.77,207,62.77,149,77.49
20151027,103.7,206.6,61.52,149.1,77.29
20151028,104.2,208.95,63.05,149.8,76.51
20151029,104.88,208.83,65.52,148,77.02
20151030,101.97,207.93,67,146.6,76.38
20151102,103.31,210.39,71.05,147.5,76.6
20151103,102.58,211,70.21,150.5,77.05
20151104,103.94,210.36,69.46,153,77.06
20151105,108.76,210.15,68.62,152.3,76.39
20151106,107.095,210.04,67.79,154.5,75.57
20151109,106.49,208.08,66.49,152,75.4
20151110,107.91,208.56,67.25,150.4,75.77
20151112,108.02,204.84,66.77,155,74.66
