Securities,Date,Buy_Hold,SD_05,SD_1,SD_2
MMM,8/8/2013,0.007212495,0,0,0.007209758
MMM,9/8/2013,-0.003117075,0,0,-0.0031159
MMM,12/8/2013,0.000591561,0,0,0.000591337
MMM,13/8/2013,0.002449303,0,0,0.002448378
MMM,14/8/2013,-0.008846498,0,0,-0.008843165
MMM,15/8/2013,-0.015045771,0,0,-0.015040051
MMM,16/8/2013,0.000431514,0,0,0.000431348
MMM,19/8/2013,-0.002501703,0,0,-0.002500738
MMM,20/8/2013,-0.001643158,0,0,-0.001642522
MMM,21/8/2013,-0.017324863,0,0,0
MMM,22/8/2013,0.011018941,0.011014087,0.011014729,0
MMM,23/8/2013,-0.002354151,-0.002353125,-0.002353261,-0.00235326
MMM,26/8/2013,-0.000611776,-0.000611508,-0.000611544,-0.000611543
MMM,27/8/2013,-0.013992003,0,-0.013986698,-0.01398669
MMM,28/8/2013,0.002394657,0,0.002393736,0.002393734
MMM,29/8/2013,0.002831331,0,0.002830245,0.002830244
MMM,30/8/2013,0.002293962,0,0.002293084,0.002293083
MMM,3/9/2013,-0.003168985,0,-0.003167776,-0.003167774
MMM,4/9/2013,0.011744859,0,0.011740363,0.011740356
MMM,5/9/2013,0.002793027,0,0,0.002791969
MMM,6/9/2013,0.001479663,0,0,0.001479104
MMM,9/9/2013,0.014774768,0,0,0.014769192
MMM,10/9/2013,0.007279826,0,0,0.007277119
MMM,11/9/2013,0.009522916,0,0,0.0095194
MMM,12/9/2013,-0.004295423,0,0,-0.004293852
MMM,13/9/2013,0.003383493,0,0,0.00338225
MMM,16/9/2013,0.005311031,0,0,0.005309087
MMM,17/9/2013,0.00586997,0,0,0.005867833
MMM,18/9/2013,0.01133796,0,0,0.011333856
MMM,19/9/2013,0.002308117,0,0,0.00230729
MMM,20/9/2013,-0.012829894,0,0,-0.012825312
MMM,23/9/2013,0.009164297,0,0,0.009160981
MMM,24/9/2013,-0.002559212,0,0,-0.002558295
MMM,25/9/2013,-0.004966023,0,0,-0.004964238
MMM,26/9/2013,0.003826286,0.003824246,0.0038251,0.003824904
MMM,27/9/2013,-0.003645975,-0.003644039,-0.003644849,-0.003644663
MMM,30/9/2013,-0.006736469,-0.006732879,-0.006734382,-0.006734036
MMM,1/10/2013,0.001758337,0,0.001757789,0.001757698
MMM,2/10/2013,-0.003510501,-0.003507834,-0.003509408,-0.003509227
MMM,3/10/2013,-0.005452058,-0.005447901,-0.005450355,-0.005450072
MMM,4/10/2013,0.007168699,0.007163202,0.007166446,0.007166073
MMM,7/10/2013,-0.005945351,-0.005940825,-0.005943497,-0.00594319
MMM,8/10/2013,-0.01288844,0,-0.012884395,-0.012883726
MMM,9/10/2013,0.00349886,0,0.003497748,0.003497563
MMM,10/10/2013,0.015052168,0,0.0150474,0.01504661
MMM,11/10/2013,0.011561562,0,0.011557954,0.011557356
MMM,15/10/2013,-0.00745397,0,0,-0.007451289
MMM,16/10/2013,0.009345714,0,0,0.009342328
MMM,17/10/2013,0.01388877,0,0,0.013883785
MMM,18/10/2013,0.001793853,0,0,0.001793218
MMM,21/10/2013,0.003337104,0,0,0.003335924
MMM,22/10/2013,0.004461713,0,0,0.004460142
MMM,23/10/2013,-0.004845703,0,0,-0.004844004
MMM,24/10/2013,0.002353494,0,0,0.002352665
MMM,25/10/2013,0.007529692,0,0,0.007527045
MMM,28/10/2013,0.004017967,0,0,0.004016565
MMM,29/10/2013,0.002881359,0,0,0.002880358
MMM,30/10/2013,-0.003910582,0,0,-0.003909227
MMM,31/10/2013,0.008492839,0,0,0.008489884
MMM,1/11/2013,0.000397232,0,0,0.000397095
MMM,4/11/2013,0.003335424,0,0,0.003334274
MMM,5/11/2013,-0.001583017,0,0,-0.001582473
MMM,6/11/2013,0.008006911,0.008004423,0,0.008004155
MMM,7/11/2013,-0.005662557,-0.005660812,0,-0.005660623
MMM,8/11/2013,0.012496932,0,0,0.01249264
MMM,12/11/2013,0.002890376,0,0,0.002889395
MMM,13/11/2013,0.001791542,0,0,0.001790936
MMM,14/11/2013,0.009330459,0,0,0.009327309
MMM,15/11/2013,0.00046221,0,0,0
MMM,18/11/2013,0.002155985,0,0,0
MMM,19/11/2013,-0.000614671,0,0,0
MMM,20/11/2013,-0.006688653,0,0,0
MMM,21/11/2013,0.009055655,0,0,0
MMM,22/11/2013,0.005139178,0,0,0
MMM,25/11/2013,0.001602551,0.00160279,0,0
MMM,26/11/2013,0.007009469,0.007010511,0.007004131,0.007005841
MMM,27/11/2013,0.010214038,0.010215547,0.010206314,0.010208789
MMM,29/11/2013,7.48946E-05,7.49055E-05,7.48385E-05,7.49E-05
MMM,2/12/2013,-0.043660263,-0.043666645,-0.043627582,-0.043638053
MMM,3/12/2013,-0.008457254,-0.008458546,-0.008450634,-0.008452755
MMM,4/12/2013,-0.001105662,0,-0.001104789,-0.001105068
MMM,5/12/2013,0.00292534,0,0,0.002923769
MMM,6/12/2013,0.014032208,0,0,0.014024694
MMM,9/12/2013,-0.000310967,0,0,-0.000310803
MMM,10/12/2013,-0.007932124,0,0,-0.007927934
MMM,11/12/2013,-0.006114241,0,0,-0.006110985
MMM,12/12/2013,-0.001498529,0,0,-0.001497726
MMM,13/12/2013,-0.001184824,-0.00118482,0,-0.001184189
MMM,16/12/2013,0.009727086,0.009727048,0,0.00972186
MMM,17/12/2013,0.029213423,0,0,0.029197882
MMM,18/12/2013,0.033558827,0,0,0.03354148
MMM,19/12/2013,0.004491204,0,0,0.004488958
MMM,20/12/2013,0.00227221,0,0,0.002271079
MMM,23/12/2013,0.000585048,0,0,0.000584757
MMM,24/12/2013,0.001388675,0.001387466,0.001388168,0.001387986
MMM,26/12/2013,0.009488287,0.009480035,0.009484824,0.009483583
MMM,27/12/2013,0.007663886,0.007657284,0.007661115,0.007660122
MMM,30/12/2013,0.000502256,0.000501827,0.000502076,0.000502012
MMM,31/12/2013,0.005952337,0.00594725,0.005950202,0.005949437
MMM,2/1/2014,-0.015113598,-0.015100759,-0.01510821,-0.015106279
MMM,3/1/2014,0.002316306,0.002314308,0.002315467,0.002315167
MMM,6/1/2014,-0.005921816,-0.00591672,-0.005919678,-0.005918911
MMM,7/1/2014,0.000145295,0.000145169,0.000145242,0.000145223
MMM,8/1/2014,-0.007408966,-0.007402553,-0.007406275,-0.00740531
MMM,9/1/2014,-0.001317224,-0.001316075,-0.001316742,-0.001316569
MMM,10/1/2014,-0.001978442,-0.001976714,-0.001977717,-0.001977457
MMM,13/1/2014,-0.011013132,-0.011003498,-0.011009089,-0.01100764
MMM,14/1/2014,0.020267105,0.020249177,0.020259581,0.020256885
MMM,15/1/2014,0.007494668,0.00748817,0.007491941,0.007490964
MMM,16/1/2014,-0.00202223,-0.002020489,-0.002021499,-0.002021238
MMM,17/1/2014,-0.006151351,0,-0.006149125,-0.006148327
MMM,21/1/2014,-0.002330136,0,-0.002329288,-0.002328984
MMM,22/1/2014,-0.003722328,0,-0.003720969,-0.003720483
MMM,23/1/2014,-0.012966935,0,-0.012962184,-0.012960482
MMM,24/1/2014,-0.033325656,0,0,-0.033308854
MMM,27/1/2014,-0.009674371,0,0,-0.009669325
MMM,28/1/2014,0.006590116,0,0,0.006586646
MMM,29/1/2014,0.00338902,0,0,0.003387247
MMM,30/1/2014,-0.016887868,0,0,-0.016879062
MMM,31/1/2014,0.001093143,0,0,0.001092564
MMM,3/2/2014,-0.033460459,0,0,-0.033442732
MMM,4/2/2014,0.022756428,0,0,0.022743954
MMM,5/2/2014,0.005049667,0,0,0.005046961
MMM,6/2/2014,0.012089712,0,0,0.012083265
MMM,7/2/2014,0.011092061,0,0,0.011086217
MMM,10/2/2014,-0.004833103,0,0,-0.004830585
MMM,11/2/2014,0.009867328,0,0,0.009862161
MMM,12/2/2014,-0.004122105,0,0,-0.004119968
MMM,13/2/2014,-0.002299537,0,0,-0.00229834
MMM,14/2/2014,0.015211926,0,0,0.015203987
MMM,18/2/2014,-0.002421655,0,0,-0.00242041
MMM,19/2/2014,-0.009406693,0,0,-0.009401846
MMM,20/2/2014,0.00765808,0,0,0.007654096
MMM,21/2/2014,7.59988E-05,0,0,7.60E-05
MMM,24/2/2014,0.00478756,0,0,0
MMM,25/2/2014,0.005521058,0,0,0
MMM,26/2/2014,-0.00052651,0,0,0
MMM,27/2/2014,0.011137782,0,0,0
MMM,28/2/2014,0.002902627,0,0,0
MMM,3/3/2014,-0.018701156,0,0,0
MMM,4/3/2014,0.003554385,0,0,0
MMM,5/3/2014,0.008816812,0,0,0
MMM,6/3/2014,0.001718071,0,0,0
MMM,7/3/2014,0.000223712,0,0,0
MMM,10/3/2014,-0.004100468,0,0,0
MMM,11/3/2014,-0.007860397,0,0,0
MMM,12/3/2014,0.000452724,0,0,0
MMM,13/3/2014,-0.013273899,0,0,0
MMM,14/3/2014,-0.007490578,0,0,0
MMM,17/3/2014,0.018790763,0.018777683,0,0
MMM,18/3/2014,0.003552773,0.003550345,0,0
MMM,19/3/2014,-0.011373819,0,0,0
MMM,20/3/2014,0.009142785,0,0,0
MMM,21/3/2014,0.005209472,0,0,0
MMM,24/3/2014,-0.005257583,0,0,0
MMM,25/3/2014,0.012382869,0,0,0
MMM,26/3/2014,-0.007234431,0,0,0
MMM,27/3/2014,-0.001878131,0,0,0
MMM,28/3/2014,0.01023626,0,0,0
MMM,31/3/2014,0.01087758,0,0,0
MMM,1/4/2014,0.006412097,0,0,0
MMM,2/4/2014,-0.003881333,0,0,0
MMM,3/4/2014,0.001029253,0,0,0
MMM,4/4/2014,-0.002056389,0,0,0
MMM,7/4/2014,-0.010744693,0,0,0
MMM,8/4/2014,0.003273297,0,0,0
MMM,9/4/2014,0.00741504,0,0,0
MMM,10/4/2014,-0.013764065,0,0,0
MMM,11/4/2014,-0.011791834,0,0,0
MMM,14/4/2014,0.005739703,0,0,0
MMM,15/4/2014,0.007058592,0,0,0
MMM,16/4/2014,0.019983442,0,0,0
MMM,17/4/2014,0.007018004,0,0,0
MMM,21/4/2014,0.006460932,0,0,0
MMM,22/4/2014,0.001947475,0,0,0
MMM,23/4/2014,-0.006478967,0,0,0
MMM,24/4/2014,-0.009709369,-0.009709595,-0.009709552,0
MMM,25/4/2014,-0.000658516,-0.000658531,-0.000658528,0
MMM,28/4/2014,0.004905513,0,0,0
MMM,29/4/2014,0.002331494,0,0,0
MMM,30/4/2014,0.011194217,0,0,0
MMM,1/5/2014,0.012364224,0,0,0
MMM,2/5/2014,-0.004899488,0,0,0
MMM,5/5/2014,0.003496478,0,0,0
MMM,6/5/2014,-0.009386264,0,0,0
MMM,7/5/2014,0.013279638,0.013267061,0.01326732,0
MMM,8/5/2014,-0.002196073,0,-0.002194063,0
MMM,9/5/2014,0.003620847,0,0,0
MMM,12/5/2014,0.010469646,0,0,0
MMM,13/5/2014,-0.002730308,0,0,0
MMM,14/5/2014,-0.005826564,0,0,0
MMM,15/5/2014,-0.004377881,0,0,0
MMM,16/5/2014,0.001063822,0,0,0
MMM,19/5/2014,0.003825689,0,0,0
MMM,20/5/2014,-0.010162958,0,0,0
MMM,21/5/2014,0.003065931,0,0,0
MMM,22/5/2014,-0.002487898,0,0,0
MMM,23/5/2014,0.005914586,0,0,0
MMM,27/5/2014,0.002125232,0,0,0
MMM,28/5/2014,-7.06908E-05,0,0,0
MMM,29/5/2014,0.006786801,0,0,0
MMM,30/5/2014,0.001123508,0,0,0
MMM,2/6/2014,-0.001613231,0,0,0
MMM,3/6/2014,0.004004467,0,0,0
MMM,4/6/2014,-0.004408337,0,0,0
MMM,5/6/2014,0.010191098,0,0,0
MMM,6/6/2014,0.006470419,0,0,0
MMM,9/6/2014,0.004700644,0,0,0
MMM,10/6/2014,-0.002408129,0,0,0
MMM,11/6/2014,-0.003862308,0,0,0
MMM,12/6/2014,-0.009277785,0,0,0
MMM,13/6/2014,0.002026682,0.002026158,0.002025893,0.002026696
MMM,16/6/2014,-0.000278977,-0.000278905,-0.000278869,-0.000278979
MMM,17/6/2014,0.002581257,0,0,0.002581274
MMM,18/6/2014,0.004453381,0.004453183,0.004452591,0.004453411
MMM,19/6/2014,0.001108409,0,0.001108213,0.001108417
MMM,20/6/2014,0.004636324,0,0.004635506,0.004636355
MMM,23/6/2014,-0.007370109,0,0,-0.007370158
MMM,24/6/2014,-0.006939094,0,0,-0.006939141
MMM,25/6/2014,0.003913046,0,0,0.003913072
MMM,26/6/2014,0.000556828,0,0,0.000556831
MMM,27/6/2014,-0.000278259,0,0,-0.000278261
MMM,30/6/2014,-0.003131284,0,0,-0.003131305
MMM,1/7/2014,0.00921395,0,0,0.009214013
MMM,2/7/2014,0.00463408,0,0,0.004634111
MMM,3/7/2014,0.001239234,0,0,0.001239242
MMM,7/7/2014,-0.003438056,0,0,-0.003438079
MMM,8/7/2014,-0.002414942,0,0,-0.002414958
MMM,9/7/2014,0.000829984,0,0,0.00082999
MMM,10/7/2014,-0.005459533,0,0,-0.005459569
MMM,11/7/2014,0.00291847,0,0,0.002918489
MMM,14/7/2014,0.004780677,0,0,0.004780709
MMM,15/7/2014,0.000413733,0,0,0.000413736
MMM,16/7/2014,0.007650897,0,0,0.007650948
MMM,17/7/2014,-0.01799016,0,0,-0.017990279
MMM,18/7/2014,0.008985725,0,0,0.008985786
MMM,21/7/2014,-0.003658931,0,0,-0.003658956
MMM,22/7/2014,0.005681778,0,0,0.005681816
MMM,23/7/2014,-0.003031534,0,0,-0.003031554
MMM,24/7/2014,0.00310986,0,0,0.003109881
MMM,25/7/2014,-6.88938E-05,0,0,-6.89E-05
